,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
2006-01-01,0.121,0.077,0.000,0.062,0.000,0.000,0.034,0.004
2006-02-01,0.356,0.076,0.041,0.153,0.061,0.002,0.011,0.009
2006-03-01,0.167,0.132,0.019,0.048,0.022,0.033,0.039,0.044
2006-04-01,0.109,0.037,0.007,0.033,0.007,0.001,0.004,0.003
2006-05-01,0.039,0.005,0.006,0.048,0.004,0.000,0.009,0.002
2006-06-01,0.018,0.013,0.062,0.002,0.021,0.039,0.001,0.009
2006-07-01,0.143,0.021,0.050,0.138,0.071,0.031,0.013,0.016
2006-08-01,0.210,0.003,0.112,0.174,0.139,0.003,0.004,0.003
2006-09-01,0.749,0.132,0.258,0.307,0.224,0.031,0.008,0.021
2006-10-01,0.474,0.146,0.218,0.166,0.172,0.073,0.011,0.038
2006-11-01,0.503,0.059,0.266,0.260,0.243,0.018,0.007,0.015
2006-12-01,0.246,0.013,0.175,0.160,0.172,0.009,0.001,0.007
2007-01-01,0.108,0.008,0.046,0.023,0.037,0.000,0.005,0.000
2007-02-01,0.022,0.068,0.008,0.012,0.001,0.071,0.069,0.077
2007-03-01,0.152,0.016,0.174,0.152,0.168,0.001,0.007,0.001
2007-04-01,0.045,0.035,0.012,0.046,0.016,0.060,0.026,0.038
2007-05-01,0.034,0.047,0.023,0.023,0.021,0.034,0.024,0.035
2007-06-01,0.002,0.017,0.015,0.003,0.028,0.045,0.020,0.034
2007-07-01,0.014,0.103,0.007,0.034,0.000,0.075,0.053,0.072
2007-08-01,0.019,0.031,0.033,0.070,0.029,0.004,0.000,0.000
2007-09-01,0.082,0.021,0.289,0.265,0.359,0.022,0.012,0.029
2007-10-01,0.007,0.148,0.093,0.031,0.078,0.001,0.019,0.007
2007-11-01,0.004,0.514,0.081,0.073,0.047,0.144,0.132,0.172
2007-12-01,0.000,0.208,0.179,0.092,0.162,0.002,0.018,0.003
2008-01-01,0.091,0.304,0.531,0.467,0.440,0.022,0.016,0.021
2008-02-01,1.120,0.537,0.024,0.285,0.047,0.000,0.077,0.008
2008-03-01,0.236,0.044,0.181,0.000,0.116,0.200,0.049,0.133
2008-04-01,0.940,0.011,0.022,0.217,0.031,0.123,0.059,0.105
2008-05-01,2.066,0.135,0.379,0.975,0.383,0.001,0.010,0.001
2008-06-01,1.720,0.351,0.297,0.690,0.392,0.043,0.058,0.039
2008-07-01,0.831,0.736,0.063,0.133,0.048,0.203,0.125,0.121
2008-08-01,0.553,0.604,0.028,0.054,0.006,0.160,0.104,0.077
2008-09-01,0.571,0.169,0.109,0.021,0.204,0.048,0.016,0.008
2008-10-01,3.379,0.481,1.408,0.988,1.818,0.090,0.011,0.012
2008-11-01,3.002,0.391,1.793,0.850,1.499,0.179,0.017,0.006
2008-12-01,0.631,0.221,0.259,0.040,0.081,0.049,0.003,0.000
2009-01-01,0.028,0.013,0.085,0.076,0.077,0.084,0.037,0.067
2009-02-01,0.021,0.073,0.044,0.082,0.047,0.000,0.000,0.000
2009-03-01,0.022,0.122,0.000,0.072,0.024,0.060,0.005,0.012
2009-04-01,0.001,0.001,0.048,0.095,0.161,0.004,0.009,0.022
2009-05-01,0.157,0.003,0.211,0.143,0.344,0.005,0.003,0.003
2009-06-01,0.027,0.104,0.066,0.002,0.085,0.100,0.005,0.045
2009-07-01,0.340,0.271,0.253,0.066,0.215,0.160,0.018,0.080
2009-08-01,0.153,0.026,0.079,0.021,0.075,0.001,0.010,0.001
2009-09-01,0.448,0.321,0.234,0.145,0.238,0.131,0.078,0.112
2009-10-01,0.142,0.021,0.180,0.083,0.147,0.025,0.005,0.012
2009-11-01,0.022,0.122,0.038,0.072,0.107,0.102,0.050,0.080
2009-12-01,0.003,0.015,0.002,0.008,0.012,0.004,0.028,0.012
2010-01-01,0.073,0.014,0.223,0.067,0.214,0.010,0.029,0.001
2010-02-01,0.068,0.006,0.078,0.037,0.121,0.013,0.004,0.001
2010-03-01,0.123,0.139,0.050,0.041,0.075,0.059,0.033,0.039
2010-04-01,0.194,0.094,0.111,0.037,0.078,0.039,0.001,0.012
2010-05-01,0.619,0.503,0.483,0.248,0.260,0.404,0.207,0.279
2010-06-01,0.441,0.298,0.186,0.285,0.125,0.112,0.185,0.134
2010-07-01,0.491,0.109,0.320,0.453,0.469,0.051,0.070,0.083
2010-08-01,0.657,0.088,0.426,0.522,0.456,0.028,0.023,0.023
2010-09-01,0.523,0.115,0.342,0.360,0.371,0.056,0.017,0.030
2010-10-01,0.965,0.264,0.501,0.566,0.556,0.090,0.063,0.081
2010-11-01,0.912,0.525,0.274,0.461,0.240,0.115,0.161,0.104
2010-12-01,0.434,0.227,0.081,0.179,0.112,0.020,0.035,0.024
2011-01-01,0.488,0.129,0.300,0.222,0.274,0.081,0.009,0.040
2011-02-01,0.174,0.001,0.067,0.045,0.052,0.003,0.040,0.022
2011-03-01,0.216,0.073,0.057,0.078,0.055,0.008,0.004,0.003
2011-04-01,0.082,0.008,0.021,0.009,0.022,0.040,0.082,0.059
2011-05-01,0.137,0.011,0.144,0.056,0.120,0.003,0.067,0.023
2011-06-01,0.356,0.037,0.209,0.205,0.167,0.005,0.001,0.001
2011-07-01,0.166,0.004,0.071,0.160,0.037,0.004,0.001,0.002
2011-08-01,0.578,0.065,0.272,0.706,0.226,0.002,0.103,0.022
2011-09-01,0.381,0.074,0.303,0.707,0.216,0.063,0.238,0.128
2011-10-01,0.398,0.063,0.278,0.624,0.422,0.036,0.115,0.093
2011-11-01,0.535,0.182,0.334,0.682,0.350,0.095,0.179,0.113
2011-12-01,0.443,0.199,0.226,0.370,0.200,0.063,0.072,0.045
2012-01-01,0.485,0.035,0.392,0.352,0.370,0.022,0.001,0.011
2012-02-01,0.460,0.029,0.300,0.286,0.231,0.004,0.000,0.000
2012-03-01,0.454,0.015,0.237,0.244,0.196,0.001,0.008,0.003
2012-04-01,0.512,0.040,0.255,0.283,0.188,0.000,0.000,0.000
2012-05-01,0.616,0.125,0.283,0.353,0.157,0.016,0.019,0.016
