,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
2006-11-01,0.610,0.055,0.322,0.358,0.337,0.008,0.005,0.012
2006-12-01,0.302,0.011,0.224,0.228,0.251,0.003,0.001,0.005
2007-01-01,0.125,0.003,0.051,0.037,0.058,0.002,0.011,0.001
2007-02-01,0.032,0.082,0.016,0.027,0.006,0.105,0.077,0.106
2007-03-01,0.128,0.046,0.162,0.150,0.180,0.018,0.024,0.014
2007-04-01,0.037,0.068,0.007,0.048,0.014,0.130,0.052,0.095
2007-05-01,0.028,0.030,0.020,0.027,0.028,0.014,0.015,0.018
2007-06-01,0.027,0.079,0.060,0.020,0.072,0.162,0.080,0.142
2007-07-01,0.001,0.217,0.000,0.017,0.007,0.216,0.135,0.215
2007-08-01,0.002,0.096,0.007,0.039,0.010,0.061,0.018,0.039
2007-09-01,0.028,0.082,0.212,0.192,0.309,0.001,0.000,0.000
2007-10-01,0.036,0.245,0.067,0.014,0.069,0.023,0.047,0.044
2007-11-01,0.021,0.668,0.073,0.060,0.045,0.250,0.175,0.312
2007-12-01,0.009,0.300,0.169,0.074,0.173,0.015,0.033,0.021
2008-01-01,0.050,0.454,0.506,0.431,0.432,0.081,0.042,0.093
2008-02-01,1.599,0.717,0.054,0.446,0.059,0.006,0.098,0.027
2008-03-01,0.357,0.062,0.172,0.002,0.149,0.195,0.064,0.139
2008-04-01,1.037,0.003,0.012,0.213,0.007,0.201,0.127,0.192
2008-05-01,2.295,0.125,0.388,1.054,0.329,0.012,0.001,0.016
2008-06-01,2.065,0.424,0.382,0.859,0.449,0.042,0.057,0.036
2008-07-01,1.008,0.852,0.093,0.188,0.062,0.222,0.132,0.133
2008-08-01,0.649,0.696,0.042,0.081,0.010,0.175,0.114,0.086
2008-09-01,0.541,0.122,0.086,0.013,0.210,0.023,0.056,0.005
2008-10-01,3.122,0.219,1.121,0.793,1.603,0.004,0.164,0.004
2008-11-01,2.682,0.154,1.545,0.668,1.363,0.044,0.183,0.005
2008-12-01,0.381,0.058,0.121,0.001,0.020,0.000,0.113,0.025
2009-01-01,0.001,0.000,0.178,0.150,0.149,0.177,0.113,0.116
2009-02-01,0.006,0.079,0.071,0.107,0.061,0.000,0.001,0.000
2009-03-01,0.002,0.121,0.009,0.109,0.038,0.049,0.003,0.014
2009-04-01,0.021,0.000,0.106,0.149,0.227,0.019,0.022,0.040
2009-05-01,0.184,0.000,0.203,0.131,0.330,0.001,0.014,0.000
2009-06-01,0.009,0.035,0.025,0.004,0.039,0.054,0.003,0.020
2009-07-01,0.332,0.169,0.188,0.038,0.169,0.116,0.001,0.064
2009-08-01,0.148,0.005,0.052,0.009,0.051,0.000,0.029,0.003
2009-09-01,0.464,0.254,0.190,0.117,0.193,0.120,0.055,0.109
2009-10-01,0.170,0.015,0.199,0.085,0.148,0.032,0.006,0.014
2009-11-01,0.025,0.145,0.048,0.068,0.098,0.106,0.044,0.100
2009-12-01,0.000,0.029,0.000,0.010,0.012,0.021,0.063,0.022
2010-01-01,0.074,0.028,0.244,0.051,0.208,0.009,0.036,0.002
2010-02-01,0.071,0.002,0.082,0.026,0.113,0.016,0.005,0.003
2010-03-01,0.099,0.097,0.033,0.016,0.043,0.065,0.023,0.045
2010-04-01,0.119,0.021,0.048,0.003,0.020,0.017,0.010,0.002
2010-05-01,0.512,0.331,0.351,0.147,0.159,0.397,0.128,0.261
2010-06-01,0.438,0.222,0.150,0.238,0.076,0.127,0.148,0.128
2010-07-01,0.648,0.119,0.422,0.543,0.546,0.101,0.094,0.129
2010-08-01,1.037,0.157,0.683,0.782,0.645,0.100,0.075,0.072
2010-09-01,0.856,0.192,0.576,0.584,0.576,0.142,0.067,0.092
2010-10-01,1.470,0.386,0.780,0.879,0.824,0.207,0.150,0.185
2010-11-01,1.320,0.664,0.413,0.692,0.344,0.215,0.271,0.176
2010-12-01,0.498,0.183,0.069,0.189,0.091,0.012,0.030,0.012
2011-01-01,0.504,0.069,0.253,0.197,0.231,0.043,0.001,0.015
2011-02-01,0.108,0.023,0.013,0.009,0.010,0.049,0.119,0.096
2011-03-01,0.168,0.018,0.015,0.038,0.017,0.000,0.001,0.002
2011-04-01,0.041,0.067,0.000,0.000,0.001,0.113,0.170,0.145
2011-05-01,0.159,0.029,0.136,0.057,0.124,0.007,0.078,0.028
2011-06-01,0.487,0.039,0.247,0.277,0.210,0.010,0.006,0.004
2011-07-01,0.293,0.009,0.121,0.258,0.066,0.000,0.012,0.000
2011-08-01,1.019,0.150,0.484,1.133,0.381,0.029,0.241,0.055
2011-09-01,0.724,0.162,0.531,1.104,0.365,0.160,0.433,0.192
2011-10-01,0.642,0.093,0.391,0.876,0.559,0.070,0.182,0.109
2011-11-01,0.899,0.282,0.519,1.027,0.520,0.196,0.308,0.163
2011-12-01,0.760,0.297,0.355,0.626,0.331,0.146,0.165,0.086
2012-01-01,0.785,0.061,0.540,0.573,0.559,0.062,0.019,0.033
2012-02-01,0.760,0.055,0.421,0.495,0.377,0.027,0.010,0.009
2012-03-01,0.628,0.009,0.253,0.343,0.251,0.001,0.005,0.003
2012-04-01,0.755,0.038,0.295,0.429,0.258,0.000,0.000,0.000
2012-05-01,0.938,0.139,0.343,0.556,0.235,0.022,0.039,0.023
