date,MCALDT,TMNOMPRC_1,TMNOMPRC_2,TMNOMPRC_3,TMNOMPRC_4,TMNOMPRC_5,TMYTM_1,TMYTM_2,TMYTM_3,TMYTM_4,TMYTM_5
1988-02-29,02/29/1988,93.605853648,86.928961671,80.481532494,74.338205181,68.58126626,6.6077265483,7.00394667,7.2380814791,7.4136291198,7.5471507997
1988-03-31,03/31/1988,93.380190839,86.471108782,79.777308121,73.23104667,67.110705269,6.8490952768,7.2779613224,7.551725591,7.7834370571,7.9721636891
1988-04-29,04/29/1988,93.172928478,85.843982835,78.92272019,72.226253558,66.183556643,7.090724302,7.6214941381,7.882835974,8.1230371624,8.2457263798
1988-05-31,05/31/1988,92.621768471,85.124455989,78.023210976,71.137202151,64.919190484,7.6645991279,8.0527906137,8.2721278116,8.5198296715,8.6500179032
1988-06-30,06/30/1988,92.765874684,85.462773282,78.613014434,72.07199379,65.987487513,7.5091343522,7.8652395476,8.0357746743,8.1820123868,8.3095474573
1988-07-29,07/29/1988,92.360187679,84.731191148,77.73224053,71.105215878,65.052306943,7.9041067582,8.2616853235,8.381360841,8.5077556339,8.59015641
1988-08-31,08/31/1988,92.078352075,84.31684381,77.241938801,70.463726977,64.423819072,8.2530318406,8.5294266495,8.6154552468,8.7458129033,8.788919069
1988-09-30,09/30/1988,92.355410067,84.793745959,77.799177177,71.420516468,65.385146994,7.9744380137,8.270077934,8.367977949,8.4088660034,8.4928473816
1988-10-31,10/31/1988,92.40226284,85.084687239,78.426284783,72.093927038,66.324920416,7.9018718033,8.0761552516,8.1003685658,8.1800093738,8.2165918202
1988-11-30,11/30/1988,91.885311087,84.128264059,77.176105692,70.508196807,64.618698104,8.462900523,8.6413799337,8.6439032551,8.7300511141,8.7285444099
1988-12-30,12/30/1988,91.510508199,83.614486144,76.35076608,69.758272754,63.727816683,8.8960106855,8.9354297944,8.9861978105,8.9910376989,9.0011164113
1989-01-31,01/31/1989,91.500288688,83.684557778,76.649713254,70.11447754,64.296463773,8.8828058652,8.9057860199,8.8641443194,8.8821062573,8.8284732364
1989-02-28,02/28/1989,91.070283386,83.00944049,75.766259428,69.045776012,63.253697435,9.3538632676,9.3107921908,9.2505708995,9.266359329,9.1553151467
1989-03-31,03/31/1989,90.85111103,82.730255043,75.280318432,68.804448326,62.839288212,9.6211760066,9.518357046,9.4564130811,9.3411468462,9.2867050886
1989-04-28,04/28/1989,91.302236682,83.356961108,76.244910694,69.821800499,64.079551463,9.0499015352,9.077034807,9.0159492995,8.9621820022,8.8911538548
1989-05-31,05/31/1989,91.60810483,84.189927299,77.253427149,70.948941098,65.226818064,8.7650437551,8.6047450089,8.610493351,8.592012551,8.5413091881
1989-06-30,06/30/1989,92.223032347,85.412701334,78.856493777,73.016574826,67.222989981,8.1182700037,7.9054274899,7.9107931817,7.8567118231,7.9387474291
1989-07-31,07/31/1989,92.683637986,86.311816235,79.950378594,74.268641376,68.957214043,7.5978233999,7.3601838407,7.4519952046,7.437034438,7.4377545568
1989-08-31,08/31/1989,92.207714288,84.830620012,78.220758585,72.117188635,66.586693655,8.1126389863,8.2369646728,8.1803669641,8.1663510478,8.1288540391
1989-09-29,09/29/1989,92.047802369,84.698053596,77.940719801,71.838538551,66.257457557,8.3089799884,8.2925186377,8.2922426859,8.2574161273,8.2234311645
1989-10-31,10/31/1989,92.546394344,85.769240125,79.20140467,73.288626066,67.838590145,7.7460106737,7.6754875238,7.7725386182,7.7744443383,7.756529133
1989-11-30,11/30/1989,92.618133468,85.941445924,79.518615148,73.527832662,68.097177695,7.6685237721,7.5855903621,7.6323314414,7.682392655,7.6804796155
1989-12-29,12/29/1989,92.497236313,85.63093937,79.110551922,73.181323375,67.812217044,7.7566398109,7.7349847863,7.7894563162,7.7897422672,7.7600520677
1990-01-31,01/31/1990,92.241890407,85.048490706,78.284988517,71.977943199,66.203805974,8.0755815795,8.0974306634,8.1679362768,8.2146351821,8.2441270577
1990-02-28,02/28/1990,92.265927727,84.805673612,78.03448351,71.572702666,65.780598791,8.0495259688,8.2403869812,8.2748686545,8.3556879248,8.3723170063
1990-03-30,03/30/1990,92.088895093,84.379044014,77.357633799,71.038020742,65.252310391,8.2869903904,8.4693519374,8.5420953797,8.5371789805,8.5288279119
1990-04-30,04/30/1990,91.817166287,83.927447654,76.697789185,70.046929717,64.165255529,8.5370909252,8.7488891835,8.8351751121,8.9001186012,8.8790313305
1990-05-31,05/31/1990,92.200094274,84.71236133,77.848306086,71.286517355,65.422352466,8.1209032929,8.3068118112,8.3622083831,8.4557829054,8.4814764444
1990-06-29,06/29/1990,92.38074914,85.102347622,78.30156467,71.946347775,66.109301226,7.9469299314,8.0437407491,8.1385550404,8.2199776435,8.2681536335
1990-07-31,07/31/1990,92.618707623,85.645862582,78.98951389,72.772711697,66.904807634,7.6679038576,7.7368650014,7.8618361645,7.9511749364,8.0335849459
1990-08-31,08/31/1990,92.682412182,85.375499854,78.378496552,71.663709783,65.51669086,7.6200230895,7.894735981,8.1132767748,8.3239415138,8.4526731966
1990-09-28,09/28/1990,92.658258564,85.403938178,78.510366158,71.828250191,65.717091836,7.5836557088,7.8566112753,8.0426159469,8.2553452473,8.3870315563
