Date,Total_Nonfarm_employment,Trended_Empl,Empl_Gap,Empl_Gap_perc,Empl_util_perc,Pers_Cons_P,annual_infl,inflexp_1yr_mean,inflexp_1yr_median,fed_funds,one_year_ED,real_output_year_ahead,output_deflator_year_ahead,cpi_year_ahead,notes,real_gnp_gdp_nxtyr,gnp_gdp_deflat_nxtyr,cpi_nxtyr,int_shrtterm_nxtyr,unem_nxtyr,hous_starts_nxtyr
11/1/1945,38996,41719.49,-2723,-0.06528105,0.93471895,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
12/1/1945,39111,41753.31,-2642,-0.063283951,0.936716049,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1/1/1946,39839,41795.27,-1956,-0.046805972,0.953194028,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2/1/1946,39250,41845.15,-2595,-0.062017961,0.937982039,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3/1/1946,40192,41902.63,-1711,-0.040823832,0.959176169,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4/1/1946,40908,41967.17,-1059,-0.025238177,0.974761823,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5/1/1946,41348,42038.16,-690,-0.016417519,0.983582481,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6/1/1946,41732,42114.88,-383,-0.009091272,0.990908728,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
7/1/1946,42153,42196.56,-44,-0.001032396,0.998967604,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
8/1/1946,42642,42282.44,360,0.008503881,1.008503881,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
9/1/1946,42908,42371.71,536,0.012656909,1.012656909,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
10/1/1946,43094,42463.61,630,0.014845392,1.014845392,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
11/1/1946,43396,42557.43,839,0.019704492,1.019704492,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
12/1/1946,43379,42652.47,727,0.017033639,1.017033639,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1/1/1947,43545,42748.12,797,0.018641177,1.018641177,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2/1/1947,43563,42843.81,719,0.01678634,1.01678634,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3/1/1947,43605,42939.01,666,0.01551015,1.01551015,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4/1/1947,43491,43033.26,458,0.010636938,1.010636938,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5/1/1947,43637,43126.13,511,0.011845876,1.011845876,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6/1/1947,43808,43217.25,591,0.013669408,1.013669408,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
7/1/1947,43742,43306.24,436,0.010062247,1.010062247,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
8/1/1947,43958,43392.81,565,0.013025007,1.013025007,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
9/1/1947,44201,43476.66,724,0.016660373,1.016660373,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
10/1/1947,44415,43557.56,857,0.019685193,1.019685193,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
11/1/1947,44486,43635.31,851,0.019495436,1.019495436,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
12/1/1947,44578,43709.78,868,0.019863345,1.019863345,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1/1/1948,44686,43780.89,905,0.020673688,1.020673688,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2/1/1948,44537,43848.63,688,0.015698867,1.015698867,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3/1/1948,44680,43913.04,767,0.017465376,1.017465376,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4/1/1948,44369,43974.23,395,0.00897726,1.00897726,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5/1/1948,44795,44032.34,763,0.017320337,1.017320337,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6/1/1948,45032,44087.56,944,0.021421951,1.021421951,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
7/1/1948,45160,44140.1,1020,0.023105915,1.023105915,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
8/1/1948,45175,44190.27,985,0.022283801,1.022283801,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
9/1/1948,45294,44238.44,1056,0.0238608,1.0238608,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
10/1/1948,45250,44285.03,965,0.021790078,1.021790078,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
11/1/1948,45194,44330.55,863,0.019477499,1.019477499,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
12/1/1948,45028,44375.59,652,0.014702039,1.014702039,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1/1/1949,44675,44420.77,254,0.005723203,1.005723203,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2/1/1949,44500,44466.78,33,0.000747079,1.000747079,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3/1/1949,44238,44514.31,-276,-0.006207286,0.993792714,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4/1/1949,44230,44564.07,-334,-0.007496424,0.992503577,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5/1/1949,43982,44616.74,-635,-0.014226393,0.985773607,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6/1/1949,43739,44672.96,-934,-0.020906679,0.979093322,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
7/1/1949,43530,44733.37,-1203,-0.026900931,0.973099069,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
8/1/1949,43621,44798.5,-1178,-0.026284411,0.973715589,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
9/1/1949,43784,44868.83,-1085,-0.024177759,0.975822241,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
10/1/1949,42950,44944.73,-1995,-0.044381831,0.955618169,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
